tweet,country,state,city,street,geolocation_type,lat,lon
"Gunman Kills 10 at Buffalo Supermarket in Racially Motivated Attack The gunman, an 18-year-old white man, live streamed the shooting, which officials said was being investigated as a hate crime. Eleven of the 13 people who were shot were Black vía @nytimes https://t.co/ZCEfWp2V5X",USA,New York,Buffalo,,explicit,42.8867166,-78.8783922
Phil Murphy s hood because of his AG s release of prisoners and the lefts hatred of cops-.car robberies- left n right broad daylight- RUMSON COUNTRY CLUB mom and teen held at gunpoint - these r his high tax payers 😂,USA,New Jersey,Rumson,,explicit,40.372054,-73.9990269
In Somaliland youth are arrested and transferred to major prisons without due process. The illegitimate government of Muse Biixi and his police force are committing crimes against humanity @amnesty @hrw https://t.co/K5M0xY9HhY,Somaliland,,,,explicit,9.7277474,46.0099127
"No offense, Colorado… but Rhode Island summers? Hard to beat. https://t.co/u7FgICQMao",USA,Rhode Island,,,explicit,41.7962409,-71.5992372
Love being part of the tradition in Chepachet!  #Happy4thofJuly from the Ancients & Horribles parade! 🇺🇸 https://t.co/URKVjXtb0X,USA,Rhode Island,Chepachet,,explicit,41.9097635,-71.66566670989305
"The Chief Executive of NPA, has invited oil investors in the United Arab Emirate (UAE) to take advantage of Ghana’s favourable petroleum market environment and invest in infrastructures in the country. #Ghana https://t.co/pXTVO2ojk6",Ghana,,,,explicit,8.0300284,-1.0800271
"Fort Collins, it's my first tuesday officially covering city council on the city beat for @coloradoan!! Follow along here as I attempt to live tweet as well as @jacymarmaduke did in the past!",USA,Colorado,Fort Collins,,explicit,40.5871782,-105.0770113
"Sing song merrily on high, with the highest outdoor carol concert in London at Up at The O2. #Christmas",UK,,London,,explicit,51.4893335,-0.1440550845276872
The Columbus Tesla showroom is so packed with cars that are ready for delivery that they have to park them at Burger King 😳 Going to be another record quarter! Hope a free Whopper is included with every car 🍔,USA,Ohio,Columbus,,explicit,39.9622601,-83.0007065
"Really is textbook Liverpool behaviour, beating the City juggernaut and the last unbeaten team in the 5 major European leagues in Napoli, whilst losing to the bottom of the table duffers",United Kingdom,,Liverpool,,implicit,53.4071991,-2.99168
"#Tenerife is the largest of #Spain’s #Canary Islands, off West Africa. Mt. Teide, a dormant volcano is Spain's tallest peak. The island has many beaches (with sands from yellow to black) #Travel #Nature @RGPMA @CONTEMPRA_INN🌹 https://t.co/CY4McSE9I5",Spain,Canary Islands,Tenerife,,explicit,28.2935785,-16.621447121144122
"I hosted a panel discussion in Haywood County to ensure that as West Tennessee's economy grows due to @Ford's Blue Oval City, our local leaders can work together to promote smart growth and responsible development. I look forward to continuing these conversations. https://t.co/IV6SyuU1Cp",United States,Tennessee,Haywood County,,explicit,35.5675653,-89.287824
Native Hawaiians are like please stop coming here and rich mostly white people are like naa,United States,Hawaii,,,implicit,19.5938015,-155.42837009716908
"#BREAKING: San Francisco supervisors voted Tuesday to put the brakes on a controversial policy that was previously approved, which would let police use robots for deadly force. https://t.co/H6g9lFf3ae",United States,California,San Francisco,,explicit,37.7792588,-122.4193286
"When two officers pulled up outside her home in Valley, Alabama Sunday, Martha Menefield didn’t know why they were there. .@lee_hedgepeth spoke to the 82-year-old woman, who was arrested over a $77.80 trash bill. https://t.co/djKK16ZW66",United States,Alabama,Valley,,explicit,32.8187406,-85.1793852
"This afternoon, I attended the promotion ceremony of four of our officers within the Edinburg Police Department. They were promoted to the ranks of Sergeant, Lieutenant and Assistant Chief. Congratulations to them on this achievement and thank you for keeping our community safe. https://t.co/whN7fFBz1B",United States,Texas,Edinburg,,explicit,26.3013982,-98.1624501
"A prolonged heat event is expected to remain across Ventura County through next Tuesday. Peak temperatures anticipated on Sunday & Monday. For more information, visit https://t.co/w90W5iWyBt. #VCSheriff #VCOES https://t.co/TtDamOasZi",United States,California,Ventura County,,explicit,34.4458248,-119.0779359
"It’s going down this Friday! 

Massillon vs. Moeller

Paul Brown Tiger Stadium is going to be electric! 

Click the QR Code in pic below for tickets before they sellout! https://t.co/9g0KE503Kr",USA,Ohio,Massillon,,explicit,40.7965119,-81.5231597
Panama City come out and meet FSU great @coreyfuller4 who played 10 years in the NFL and had 17 interceptions. He is currently on staff at FSU. https://t.co/V5PHMCeqro,USA,Florida,Panama City,,explicit,30.1586518,-85.6602936
Preston Roberts 2023 Noblesville Indiana High School - Congratulations !!,USA,Indiana,Noblesville,,explicit,40.0455918,-86.0085955
Houston U.S. Rep. Lizzie Fletcher tests positive for COVID-19 https://t.co/LwdXUtStsy,USA,Texas,Houston,,explicit,29.7589382,-95.3676974
"As per the RBC's website the rinks will be open tomorrow, Sunday September 25th.  All Dartmouth Whaler's on ice programming scheduled for tomorrow will go ahead. Please click on the below to see the ice times and groups for each
 
https://t.co/swQZrPKFpb https://t.co/YICttF5Ytn",Canada,,Dartmouth,,explicit,44.6799707,-63.5720232
Watch live Atlanta Hartsfield-Jackson Airport with ATC on https://t.co/EGLYUwihTE https://t.co/w5eeQyr6Zl,USA,Georgia,Atlanta,,explicit,33.7489924,-84.3902644
Vehicle Collision: All westbound lanes of the Grand Central Parkway are closed at the Long Island Expressway in Queens. Consider alt routes. Multilingual & ASL Link: https://t.co/GpdlTK7FPB,USA,New York,Queens,Grand Central Parkway,explicit,40.7727092,-73.9205493
"Lake picture preview. Lake Ontario in Oswego, New York. More pictures later. ☺️❤️🔥😎 https://t.co/EOOLIr5ov9",USA,New York,Oswego,,explicit,43.4112973,-76.1279841
Summer sunset with thunder booms #ogunquit #maine @StormHour https://t.co/TyhHYcVOYJ,USA,Maine,Ogunquit,,explicit,43.2489755,-70.5992201
Sunday Night Football. #KCvsTB Korg's pick: Tampa Bay Buccaneers #GoBucs https://t.co/Kj6phdflN2,USA,Florida,Tampa,,explicit,27.9477595,-82.458444
I’m excited to announce that I am the newest player for the Kansas City Chiefs,USA,Missouri,Kansas City,,explicit,39.100105,-94.5781416
My grandma memory starting to fade 😔. I gotta go to Boston,USA,Massachusetts,Boston,,explicit,42.3554334,-71.060511
Santa Cruz County is the Second Least Affordable Place to Live in the Nation https://t.co/mR9zLPNqVO https://t.co/IvtKtxJYlB,USA,California,Santa Cruz,,explicit,37.050096,-121.99059
"FOX is not ""News"". Not all speech is ""free"", and if somebody doesn't hold them accountable for their relentless attacks on the truth, we're going to see violence on a mass scale. I watched this happen first hand in Ukraine in 2014, when Putin tried installing a puppet regime.",Ukraine,,,,explicit,49.4871968,31.2718321
Wildfire smoke as seen from Eldorado. #nmwx https://t.co/vF4BgSOZf3,USA,New Mexico,Eldorado,,explicit,35.521201500000004,-105.9349074703382
"Congrats to Owen Ellis @owenellis_2 of @THEDUKESLC + Coatesville HS | PA 2023 | Att, Mid on committing to Seton Hill University, Men's D2 @setonhilllax

Honors: 2x All Area Honors, Second Team All Ches-Mont - Distinguished Honor Roll, National Honor Society @BerwynClub https://t.co/36j5BPYewS",United States,Pennsylvania,Coatesville,,explicit,39.9831616,-75.8238355
"Schmitt's support of working people is phony claim, St. Louis Post Dispatch 10-10-22
🚩Forced Birther~ Put state government between Woman and Dr
🚩Knows better than schools, students and parents in a deadly Pandemic
🚩Aids and abets FL Guy who stole NSA Documents
#Jan6Justice",United States,Missouri,St. Louis,,explicit,38.6280278,-90.1910154
"Ran into @radioshanquinn earlier!
#NashvilleNorth https://t.co/ZSpsNVUT0k",United States,Tennessee,Nashville,,explicit,36.1622767,-86.7742984
"Rick Barnes was asked what it was like to watch Tennessee players celebrate with the fans and John Fulkerson directing the band.

Barnes: ""I don't. I walk off the floor ... I'm glad. I want (the players) to enjoy winning.""",United States,Tennessee,,,explicit,35.7730076,-86.2820081
"Maybe the most dominate half in Creekside football history. Creekside scored a TD on every drive until their final driver (which was cut off by the clock running out)
Halftime
Creekside 42
Viera 0
@BrentASJax @MiaOBrienTV @JStCyrTV",United States,,Creekside,,explicit,38.2914587,-85.569405
This will be my only good night of sleep because once we leave Tampa and head to Miami…Omg! My liver. 😩😩😩,United States,Florida,Miami,,explicit,25.7741728,-80.19362
The Philadelphia Flyers Fan Club sends our condolences to our colleagues in @NYIBooster on the passing of hockey hall of famer Clark Gillies.,United States,Pennsylvania,Philadelphia,,explicit,39.9527237,-75.1635262
Extra generators down near my street for the heatwave. LA old infrastructure can’t handle it. https://t.co/vox8khvMKw,United States,California,Los Angeles,my street,explicit,34.1444523,-118.3900323
"Leaving my sign where the protests in East Wall took place

Proud to stand with refugees as @labouryouth chair 

@labour #RefugeesWelcome https://t.co/xQTd6u72Ie",Ireland,,East Wall,,explicit,53.350961,-6.235314328767993
HRN: @LancasterISD Junior Crossover - Class of 2023. Put up your 2’s and your 3’s. This is your “Jordan Year!” #WEBOJordanYear #LHSJordanYear #RaiseYourRoar https://t.co/sV53f3vMVD,United States,Texas,Lancaster,,explicit,32.5920798,-96.7561083
I visited Birmingham once and didn't take the receipt from a tesco metro and the security guard accused me of robbing a packet of sweets lmao,United Kingdom,,Birmingham,,explicit,52.4796992,-1.9026911
"Final Qualifying Speeds from San Diego

U-1 Jimmy Shane, 165.636 (new course record)
U-91 Jeff Bernard, 161.600
U-40 Dustin Echols, 158.448
U-9 J. Michael Kelly, 154.048
U-11 Jamie Nilsen, 150.592

📷Digital Roostertails https://t.co/kyQfjxgwbD",United States,California,San Diego,,explicit,32.7174202,-117.162772
I’m 19 I’m looking for a new football team in Glasgow area I play as a striker @TeamfinderScot1,United Kingdom,,Glasgow,,explicit,55.861155,-4.2501687
California love!!! #Coachella2022 https://t.co/azVhqsOS8w,United States,California,,,explicit,36.7014631,-118.755997
Get ready #ChiHards the One Chicago season finales start NOW! You're not going to want to miss this!!  ❤️🧡💙 https://t.co/HyHYhMeQrw,United States,,Chicago,,explicit,41.8755616,-87.6244212
Jeb! learned everything he ever needed to know about public education at Phillips Academy in Andover.,United States,Massachusetts,Andover,,explicit,42.65717,-71.1408776
Luke New Pelion quarterback has rushed for four touchdowns and thrown for another in first half,United States,South Carolina,Pelion,,explicit,33.7625708,-81.2445502
"Chevy Chase has municipal codes against noise, nuisance, solicitors and hawkers.  Protestors should be arrested.  Why are noisy protests that threaten security allowed? https://t.co/ZLbXFm8BNO",United States,Maryland,Chevy Chase,,explicit,38.9942121,-77.0771572
"I pass West Virginia Street on my way to the newsroom, and each time I get so excited! 

Today I learned there’s also an EAST Virginia Street…",United States,Indiana,Evansville,East Virginia Street,explicit,37.981306,-87.542393
Welcome to Covid Ontario where we pretend Covid is over. #WearAMask #CovidIsNotOver #COVIDisAirborne https://t.co/MGvtUYotX2,Canada,Ontario,,,explicit,50.000678,-86.000977
"From starting out recording demos on free DJ websites, and throwing concerts in grocery store parking lots, the Long Island duo, @poptropicaslutz have come a very long way in the past few years. Read the full write up! Link in bio + replies ❤️‍🔥 https://t.co/7ICQlpYtCj",United States,New York,Long Island,,explicit,40.85149705,-73.09942966988302
01 Ottobre 2022 #Verona area… More infos coming soon…… Powered by @IllogicRadio https://t.co/sMzJw5lsEz,Italy,,Verona,,explicit,45.4384958,10.9924122
Thank you @BarstoolBigCat Tennessee 1st quarter,United States,Tennessee,,,explicit,35.7730076,-86.2820081
I’ve never really driven through Arkansas until today and I just gotta say… there are good trees here.,United States,Arkansas,,,explicit,35.2048883,-92.4479108
Greater Boston (though sure it applies in many areas): There is a shitton of terrible respiratory viruses going around and not enough staffed ED/hospital beds and EMS is occasionally overrun. Now would be a great time to start wearing masks when in indoor spaces again.,United States,Massachusetts,Boston,,explicit,42.3554334,-71.060511
H-Town! Happy #713Day!!! Blessed to call HOU Home. #HoustonTX #summer2022 #lifeisgood https://t.co/1QSrckiLuN,United States,Texas,Houston,,explicit,29.7589382,-95.3676974
On the way back from that mission trip to Mexico.,Mexico,,,,explicit,19.4326296,-99.1331785
"Yangp'Yong, Korea, Republic Of https://t.co/XphtBK8YXV","Korea, Republic Of",,,,explicit,36.638392,127.6961188
"Eyewitness recalls Uvalde shooting, says sleepless nights have become the norm https://t.co/os4gCPMnJs via @nbcnews",United States,Texas,Uvalde,,explicit,29.300357,-99.7733181
"I think it's time for you to retire

You don't represent Texas. I've never met a Texan who wouldn't put their life in danger to save innocent children, cop or not. Texas has balls, those cops are COWARDS.",United States,Texas,,,explicit,31.2638905,-98.5456116
why am I in fort pierce,United States,,Fort Pierce,,explicit,27.4467056,-80.3256056
"LOS ANGELES COUNTY COMMISSION ON HIV | Operations Committee Virtual Meeting: Thurs, January 27 @ 10AM (REGISTER NOW)",United States,California,Los Angeles,,explicit,34.0536909,-118.242766
Georgia 2023 catcher Tyler Minnick (@TylerMinnick7) turns this pitch around sending it over the left field wall for a two run bomb during our @NB_Baseball @P15Sports @ftrstarsseries Main Event. @GTBaseball commit https://t.co/gY6sxDQTye,United States,Georgia,,,explicit,32.3293809,-83.1137366
Oaks Christian Frosh/Soph Girls’ Volleyball: OCS defeats Oak Park 25-8 to close out set number 2!!! The Lions win the match 2-0.,United States,California,Oak Park,,explicit,34.1792025,-118.7619719
My round of infield at Tennessee baseball camp. https://t.co/uHhVXrLvS4,United States,Tennessee,,,explicit,35.7730076,-86.2820081
Chilling with the Chop™️ in Florida https://t.co/BoNym86ejg,United States,Florida,,,explicit,27.7567667,-81.4639835
"🌞✨ @movesafedurham 🚴🏽‍♀️ #waytogoDurham 
🗣makin’ moves on my pilot BULL E-Bike 👍🏽out for an evening ride with a few of my neighbors & friends! …we’re off yonder to Ellerbee Creek trail and back to downtown Bull City 🚴🏽‍♀️💨 https://t.co/rti9iLQ7ZU",United States,North Carolina,Durham,,explicit,35.996653,-78.9018053
Greenback Golf was at Kingman today. Pratt finished 2nd as a team with a 386. Grant McAtee-2nd place with an 84.  Great job on a hot and windy day!,United States,Arizona,Kingman,,explicit,35.189443,-114.0530065
"31 until i get to experience my first @CrossFitGames in madison, wisconsin. in PERSON. like i get to see TIA TOOMEY.... in PERSON.",United States,Wisconsin,Madison,,explicit,43.074761,-89.3837613
"Bleeding obvious Novak Djokovic exemption is “he’s a filthy rich tennis player who gets special treatment above all others” , was thinking about going to @AustralianOpen but not now. #AusOpen",Australia,,,,explicit,-24.7761086,134.755
"Virginia's capital city's newspaper, the Richmond Times-Dispatch (@RTDNEWS), is getting virtually no interaction and all their links show up as sensitive content. How much longer until they fold? Get Woke Go Broke! https://t.co/u7a7q13WDP",United States,Virginia,Richmond,,explicit,37.5385087,-77.43428
Program sweep tonight! Some work to do at practice tomorrow to prepare for the Plainfield North Invitational on Saturday!,United States,Illinois,Plainfield,,explicit,41.6086711,-88.2054345
Back in the Friday Night saddle… RHS vs East Limestone… Let’s go get this W… #GTfootball #ForeverGolden https://t.co/loJmwgfQZp,United States,Alabama,East Limestone,,explicit,34.7809229,-86.8327797
"Thank you @peopleenespanol @people for the honor to join Poderosas as we kick off #womenshistorymonth and elevate the power and influence of Latinas! @ Miami, Florida https://t.co/MINCVss3yC",United States,Florida,Miami,,explicit,25.7741728,-80.19362
Senior Texter (m/w/d) in #Köln (Fest) #Designerdock #dasauge #jobs → https://t.co/BMDxWwZ3FO,Germany,,Köln,,explicit,50.938361,6.959974
Div. VI 96.7FM West Liberty Salem 0 at Marion Local 35 2nd Div. V AM1350 & 100.3FM Huron 3 at Coldwater 0 2nd Div. VII https://t.co/l0mFj7lkqr New Bremen 28 at DeGraff,United States,Ohio,Coldwater,,explicit,40.4797688,-84.628291
"THE FIGHT FOR TIGRAY, a documentary on the on-going #TigrayGenocide by Roman Debotch is coming to Denver Sunday November 13 Watch with us as the films goal is to spread awareness on the civil war and humanitarian crisis. All funds will be donated!!@h https://t.co/ursCiofper… @VP https://t.co/vIRy9lHm0q",United States,Colorado,Denver,,explicit,39.7392364,-104.984862
"Yesterday, Afro-Colombian ex soccer player Freddy Eusebio Rincón Valencia passed away at age 55. Rest in Piece. https://t.co/vxLWz0rb04",Colombia,,,,explicit,4.099917,-72.9088133
The fact the Europeans got to hear bless you up close and personal before me makes me SICK!! WHERE IS THE JUSTICE?? #HwasaInLondon #hwasa #화사 #HallyuPopFest2022 https://t.co/LdMW9gcqFn,United Kingdom,,London,,explicit,51.5074456,-0.1277653
"N. KOREA FIRED MISSILE, S. KOREA SAYS: YONHAP AIR RAID ALARM ISSUED IN ULLEUNG-GUN REGION IN SOUTH KOREA - YTN",South Korea,,,,explicit,36.638392,127.6961188
"#JammuAndKashmir 03 LeT hybrid militants held in Sopore, arms and ammunition recovered: Police https://t.co/hbEEgictL7",India,Jammu and Kashmir,Sopore,,explicit,34.3281272,74.47611863298505
"Fifteen 90+ degree days. The hottest three-week stretch on record. A 26-day run above 80°. And all around us, the fingerprints of climate change. https://t.co/NWQj1eETPr via @BostonGlobe",United States,Massachusetts,Boston,,explicit,42.3554334,-71.060511
"Wishing our cast, orchestra, and crew toi toi toi as we open HMS Pinafore tonight. Get your tickets now: https://t.co/mVVfajAs0P #vancouveropera #opera #vancouverliveevents #liveorchestra #liveevents #theatre #theatrearts #HMSPinafore #openingnight https://t.co/35MwviEaSa",Canada,British Columbia,Vancouver,,explicit,49.2608724,-123.113952
"🇺🇸Scholz said the attack on Kyiv proved Putin did.  ""The Cruel War"" The meeting with Biden at the G7 proved that  “Germany and the US  will always cooperate in securing Ukraine.” #Ukraine #StandWithUkraine  #StopWarInUkraine #StopRussia https://t.co/P3HWWMGRWu",Ukraine,,Kyiv,,explicit,50.4500336,30.5241361
My best night of the year !!!!!💙💙 #ManchesterCity #PremierLeague https://t.co/PG78Jn68UQ,United Kingdom,,Manchester,,explicit,53.4794892,-2.2451148
Looking down at the sea from Anacapri. The color of the water is absolutely breathtaking! #capri #anacapri #italytravel #italy https://t.co/AG6HH5aDmO,Italy,,Anacapri,,explicit,40.555713,14.2136104
Travelling to Murree,Pakistan,,Murree,,explicit,33.9056829,73.392674
Coworker from New York keep calling me son 😭😭😭I feel like T.I in ATL,United States,New York,,,implicit,40.7127281,-74.0060152
Ferrari World is a Ferrari theme park located on Yas Island in Abu Dhabi.❤️❤️❤️ https://t.co/LGMZUBNQ8h,United Arab Emirates,,Abu Dhabi,,explicit,24.4538352,54.3774014
Go to Ukraine and spend a few nights with bombs exploding that are meant to kill you and then I will listen! 🙄,Ukraine,,,,explicit,49.4871968,31.2718321
"The trucks have left Ottawa, but 'phantom honking' lingers for many downtown | CBC News https://t.co/sR4GQAkkmh",Canada,,Ottawa,,explicit,45.4208777,-75.6901106
"Hope Ringo walks on at the end of this, screams ""I'VE GOT BLISTERS ON ME FINGERS!"" into a mic, then just toddles off again #Glastonbury",United Kingdom,,Glastonbury,,explicit,51.14804,-2.716577
Tonight the Boston crowd will be filled with Sasha Banks signs and chants 🥺🥺 #SurvivorSeries,United States,Massachusetts,Boston,,explicit,42.3554334,-71.060511
"The cheapest I think I've ever been was when I was in England I put a £25 limit on my spending per day, I was going to take a train to London that day and had only like £7 left for food and had ran out of deodorant that day, so to save on money I used a bottle of Febreze instead.",United Kingdom,,London,,explicit,51.5074456,-0.1277653
NEW VIDEO/ More Adam and Oliver in Bologna tonight!😍😍 Adam is wearing a green kaftan As soon as they see Adam getting out of the car they start cheering! Adam's bodyguard is right behind him T i g r a N HamalbashyaN stories https://t.co/MQt5ML3bPd,Italy,,Bologna,,explicit,44.4938203,11.3426327
The Eagles have landed #DetroitRockCity #GoBrowns https://t.co/E34KUqOC1E,United States,Michigan,Detroit,,explicit,42.3315509,-83.0466403
@itsme_vickie Some things never change. I’m just happy there’s a great neighborhood brewery like I had back in New Orleans. They also go out of their way to be family friendly and dogs are always welcome on the patio.,United States,Louisiana,New Orleans,,explicit,29.9759983,-90.0782127
London to Valley in an A321…you have got to be shitting me!!!!!!! What a waste of fucking money.,United Kingdom,,London,,explicit,51.5074456,-0.1277653
Storrs,United States,Connecticut,Storrs,,explicit,41.80564555,-72.25413294148728
Halo around the sun today #greshamOR #orwx @KOINNews @JosephForecast @KelleyKOIN @NatashaKOIN6 @SteveKOIN https://t.co/taZvOfTBud,United States,Oregon,Gresham,,explicit,45.4997475,-122.4309766
Good morning from the Pilbara! Little St Johnny bear is soaking up the rays in Onslow. How’s the serenity. ❤️ https://t.co/KORcCAkZsX,Australia,Western Australia,Onslow,,explicit,-21.6382467,115.1134438
Part-time: @BiloxiShuckers (AA) seek #2 radio voice and new best friend for @Garrett_Greene during 2023 season.,USA,Mississippi,Biloxi,,explicit,30.4007626,-88.8893818
"Join me at React Day Bangalore (@ReactDayIn) on Jun 8-9, 2022. Grab your free ticket now. https://t.co/AF3L9jll0V",India,,Bangalore,,explicit,12.9767936,77.590082
"Nothing bad to say about the country, the driver. When I visited Mexico city In 2018 for the GP I loved every moment of it the people were amazing so hospitible and the passion for Checo unrivalled #F1",Mexico,,Mexico City,,explicit,19.4326296,-99.1331785
It was incredibly moving to do a tour of Africville while in Halifax. @AfricvilleHT tells the story of a community that met the indignities of racism w/ grace & faith. Reparations are needed & we recognize that the federal government needs to take action. https://t.co/x4KDg2ZfZG,Canada,Nova Scotia,Halifax,,explicit,44.648618,-63.5859487
Students’ Union roles don’t get much bigger or more exciting than Chief Exec of @SheffieldSU. A fab role. Get in touch with @VickyHossack to chat about this amazing opportunity. #LoveSUs #CharityJobs #SUjobs,UK,,Sheffield,,explicit,53.3806626,-1.4702278
You can always count on my Florida homie for a great tweet ❤️,USA,Florida,,,implicit,27.7567667,-81.4639835
Crazy to think this guy almost ended Argentinas dream😭😭https://t.co/PnOuGgMUea,Argentina,,,,implicit,-34.9964963,-64.9672817
I’m in @VogueMexico 😍🙏🏻✨🎬 Thank You @VOGUE 🎥👇🏼 Full Video! https://t.co/JLwDMhzNks https://t.co/JRkomVNEQl,Mexico,,,,explicit,19.4326296,-99.1331785
City of Calgary declares local state of emergency as rivers rise | Calgary Herald #abstorm #yycstorm  https://t.co/HkEjtxTX0M,Canada,Alberta,Calgary,,explicit,51.0456064,-114.057541
"I feel like we don't focus enough on the fact that Kimberly Guilfoyle, Don Jr's GF was married to current governor of California Gavin Newsom.",United States,California,,,explicit,36.7014631,-118.755997
Just slammed the @MiamiHEAT moneyline,United States,,Miami,,explicit,25.7741728,-80.19362
Haven’t been in the Financial District/TriBeCa area in Lower Manhattan for a while. Glad to walk through earlier today. Time to head back to West Texas. https://t.co/LhYDSrSzaB,United States,Texas,New York,,explicit,32.1679321,-95.6691277
220421 Hollywood 🇺🇲 #AESPA #NINGNING #닝닝 #宁宁 #æspa #에스파 https://t.co/4vqMBfFV6B,United States,,Hollywood,,explicit,34.0980031,-118.329523
Panama City from the 66th floor. https://t.co/3iQhlCmkpi,Panama,,Panama City,,explicit,8.9714493,-79.5341802
"Our guyman is in Brussels, Belgium flexing with our money when ASUU is on strike and after he successfully imported adulterated fuel. Buhari's integrity is like that of Anini and Evans. https://t.co/iwAXkM9xEP",Belgium,,Brussels,,explicit,50.8550018,4.3512333761166175
I want a wifie that's down for a hotel at Disneyland & ready for California adventure,United States,California,,,explicit,36.7014631,-118.755997
Nfl draft Thursday and leaving for Florida Sunday 😩,United States,Florida,,,explicit,27.7567667,-81.4639835
J-HOPE PRINCE OF BRAZIL #iHeartAwards #BestFanArmy #BTSARMY (@BTS_twt) https://t.co/E81iOd1Vwp,Brazil,,,,explicit,-10.3333333,-53.2
"Got to see Rand Paul again today, maintaining a tradition of seeing him the day before each of his elections. Also got to meet his wife, @KelleyAshbyPaul, owner of one of Kentucky’s must-follow Twitter accounts. https://t.co/oS0zEJpydR",United States,Kentucky,,,explicit,37.5726028,-85.1551411
"for the record Lord Watitune will cease actions for next 3 days. it is annersary on the London Bombings which he attended. bear with me, still hurts so need couple of days off.",United Kingdom,,London,,explicit,51.5074456,-0.1277653
Todays Final Scores JV Volleyball - First Flight 2 Manteo 0 JV Boys Soccer - Manteo 3 Currituck 0 Varsity Volleyball - First Flight 3 Manteo 1 Varsity Mens Soccer - Manteo 3 Currituck 1,United States,North Carolina,Manteo,,explicit,35.9082257,-75.6757303
was gonna post all the things i ate in seattle this weekend but i made a post in my #foodies channel in disc instead since it was so long :3,United States,Washington,Seattle,,explicit,47.6038321,-122.330062
In my city #Ensenada Mexico they placed this image and the first thing that came to mind is “last resort” by @paparoach https://t.co/G35cIVcgec,Mexico,,Ensenada,,explicit,31.8658887,-116.602983
The federal election brought an unprecedented spotlight on #businessevents with bi-partisan support for Tourism Australia’s successful bid fund program. Get all the latest news here https://t.co/8V3PmqgbIX #betterbusinessevents https://t.co/lk1XyR0NhW,Australia,,,,explicit,-24.7761086,134.755
